name,description,website
Neox,"Somos una empresa dedicada a las tecnologías de la información, contamos con aproximadamente 12 años de experiencia en el mercado TI, siendo un socio estratégico para nuestros clientes, los cuales abarcan diferentes industrias dentro de Chile y el Extranjero. Nos gusta proponer soluciones innovadoras, basadas en las más variadas tecnologías de la industria actual.Nuestros principales clientes son las medianas empresas y grandes empresas, acutalmente trabajamos mucho con las principales entidades bancarias de chile, los que generalmente nos solicitan desarrollos de software a la medida, ya sea a nivel de infraestructura, backend y frontend o bien la administración, soporte, desarrollo o integraciones con productos IBM.",https://www.neox.cl
Marco Marketing,"En Marco Marketing, estamos en búsqueda del mejor talento para que pueda desempeñarse como Developer y se pueda sumar al equipo de BI. Somos un centro de excelencia en BI enfocado en desarrollar productos, soluciones y arquitectura de datos para todos los proyectos de la compañía. Nuestro equipo se ubica en 6 países distintos y trabaja con proyectos en más de 10 países.",https://marcomkt.com/
CorreosChile,None,http://www.correoschile.cl
MGC,None,https://mgconsulting.cl/?utm_source=search&utm_medium=cpa&utm_campaign=brand_competencias&gclid=Cj0KCQjwrJOMBhCZARIsAGEd4VHMNRJcxa3ukce32XxbPODtz_vYN_aRkcjpDp7OxjRgrAL4GjOqSVIaAn-cEALw_wcB
Megabite,"Megabite es un restaurante digital que atiende órdenes 100% digitales a través de sus cocinas en diferentes puntos de Lima y próximamente a nivel internacional.MISIÓN DEL PUESTO: Encargado del análisis de datos de las operaciones, tecnología y equipos de Megabite. Además, es responsable de la construcción de un sistema interno y una base de datos centralizada.",https://www.linkedin.com/company/digital-restaurants-sa/
Yuvika Business,None,https://yuvikabusiness.com
The Brihaspati Infotech,None,https://www.brihaspatitech.com/magento-development-company/
Global Knitwear,None,https://globalknitwear.com/product-category/menswear/t-shirts/
LAPTOWN ARBOLEDAS,None,http://www.laptown.com
Rutero,"Somos Rutero, una plataforma de reservas de alojamientos outdoor y servicios de deporte aventura y queremos agrandar nuestro equipo para rentabilizar la comunidad que llevamos formado desde 2018. Somos un equipo joven que busca crear un sistema central del mundo outdoor, donde cualquier persona pueda encontrar la aventura perfecta y poder llevarla a cabo.",http://www.ruterocamping.com
AInwater,"Somos una empresa que busca mejorar la calidad ambiental del tratamiento de aguas. Cada uno trabaja a su tiempo, a su ritmo, cumpliendo metas definidas en conjunto y teniendo reuniones cada cierto tiempo.No nos interesa si te levantas a las 11 am o si empezaste a trabajar a las 5, siempre que podamos contar contigo! ",http://www.ainwater.com
Wivo,None,http://www.wivo.cl
Position,"POSITION es una empresa líder en el mercado de la telemática, compuesta de profesionales multidisciplinarios. Nuestro interés es proporcionar información estratégica y oportuna a los clientes con el apoyo de tecnología de última generación, permitiendo facilitar la gestión y control de su operación en terreno.En los 18 años de existencia, POSITION tiene experiencia en el desarrollo de proyectos de distinta envergadura en variadas industrias, como: minería, gobierno, industrial, retail, transporte, operadores logísticos, seguridad, alimentos, maquinaria y construcción, entre otras.",http://www.position.cl
BITAM,"Somos una empresa mexicana con presencia mundial, referente en innovación tecnológica, con 20 años de trayectoria y precursores en análisis dimensional de datos con soluciones de business intelligence, retail tech, análisis de riesgo fiscal y creadores de nuestra propia plataforma de desarrollo low code; sumando además las últimas tendencias de TI como Hiperautomatización, Total Experience (TX), Customer Intelligence, Data science, IA, entre otras.",https://bitam.com/
Merit Pages,None,http://meritpages.com/
Pyme Online,None,http://www.pymeonline.com
Agencia Pejerrey,None,https://www.agenciapejerrey.cl
Passline Group,"Passline es una Ticketera donde su principal foco está en el mundo del entretenimiento y la auto atención. Principalmente dedicada a la venta de entradas para todo tipo de eventos. Passline tiene presencia en Chile, Argentina, Perú, Bolivia, Colombia, Uruguay, Paraguay y Estados Unidos (california). Actualmente estamos explorando la auto atención, mediante kioskos de venta de productos. Se busca un estilo de trabajo ágil y dinámico. ",http://www.passline.cl/
Mi Águila,None,http://www.miaguila.com
Inmobiliaria Fundamenta,"Fundamenta es un grupo de empresas que cuenta con una Inmobiliaria, Constructora y Oficina de Inspección Técnica, tenemos una amplia presencia en el mercado, no sólo en la capital, sino que en distintas regiones de Chile y también Perú. Lo más importante para nosotros son las personas, por lo tanto, nuestra cultura está fuertemente enfocada a ellas, tanto los colaboradores como clientes finales son el foco que nos moviliza día a día a ser mejores.",http://www.fundamenta.cl
Imactions,None,http://www.imactions.com/
