Position,Company,Location,Date_published,URL,Description,SKILLS,Home_URL,Site_Name,MIN_SALARY,MAX_SALARY,MIDPOINT_SALARY,CURRENCY,SALLARY_PERIOD,seniority,categories,modality,activate,english,remote,english_level,num_offers,uid
COPY EDITOR,VOX,"New York, NY City, New York, NY, United States",2022-02-06 19:12:36+00:00,https://remoteok.com/remote-jobs/108383-remote-copy-editor-vox,"Vox Apply now 27,107 views 4,562 applied (17%) Share this job: Vox is hiring a Remote Copy Editor As the leading independent modern media company, Vox Media ignites conversations and influences culture. Across digital, podcasts, TV, streaming, live events, and print, we tell stories that affect our audience´s daily lives and entertain as much as they inform. Our portfolio features influential and respected editorial properties including Vox, New York Magazine, The Verge, The Cut, Eater, Vulture, The Strategist, Polygon, SB Nation, Intelligencer, Curbed, Grub Street, and Recode. Off-platform, the Vox Media Podcast Network offers one of the largest collections of popular podcasts, and Vox Media Studios produces and distributes the award-winning nonfiction shows. Powered by innovative technology that scales quality, the Chorus publishing platform and Concert advertising marketplace answer the always-changing needs of modern audiences, creators and marketers. Vox Media has been named one of Fast Company’s “Most Innovative Companies in Media,” an Inc. “Company of the Year,” Digiday’s “Best Company for Parents,” and one of the Best Places to Work for LGBTQ Equality by the Human Rights Campaign. About the position: The Copy Editor will help maintain and improve the quality of Polygon’s copy across all its coverage. They will copy edit every type of editorial content, from short news stories to long-form features, and will be instrumental in being the final pass on Polygon’s work. They will collaborate with every editorial desk at Polygon, and ideally will have an interest in video games, entertainment, and internet culture. What you’ll do: Copy edit stories that appear on Polygon, ensuring that they have proper spelling, grammar, punctuation, and diction, and that they adhere to our internal style guidelines. These stories can come from across Polygon’s various editorial teams, and include news, features, reviews, and sponsored editorial content. Identify grammar and style issues as they arise both on- and off-platform, and ensure that guidelines and expectations are clearly communicated to writers. Act as a point of reference for any style or grammar inquiries from the staff. Collaborate with editors to update and maintain Polygon’s comprehensive internal style guide and associated resources. Remain up to speed on current language/industry trends as they pertain to Polygon’s voice, particularly with respect to diversity, equity, and inclusion. What you’ll bring: At least one to two years of copy editing experience Close familiarity with AP style Strong interpersonal skills Familiarity with video games, movies, TV shows, comics, and internet culture is a plus *This role is a part of the Vox Media Union, represented by the Writers Guild of America, East. About working at Vox Media: This is a permanent, full-time position with excellent benefits—including flexible hours and generous parental leave. Vox Media strives to provide comprehensive healthcare options for our employees and to ensure that our healthcare and other benefits are LGBTQ-inclusive. You´ll be joining a group of focused, hard-working, creative people who are passionate about doing work that´s challenging and fun—and who strive to maintain a healthy work/life balance. Vox Media is committed to building an inclusive environment for people of all backgrounds and everyone is encouraged to apply. Vox Media is an Equal Opportunity Employer and does not discriminate on the basis of race, color, gender, sexual orientation, gender identity or expression, religion, disability, national origin, protected veteran status, age, or any other status protected by applicable national, federal, state, or local law. Vox Media is dedicated to the health and wellbeing of all of our employees. All employees in our offices are required to be fully vaccinated against COVID-19, unless they have an approved religious or medical exemption. Employees with approved religious or medical exemptions may be subject to additional safety requirements, including submitting to regular COVID-19 testing and wearing a face covering in our offices. xa0 Please note that our recruiting team will only contact you from @voxmedia.com xa0email addresses, and we will never contact you via text message. #Salary and compensation No salary data published by company so we estimated salary based on similar jobs related to Copywriting and Non Tech jobs that are similar: $40,000 — $65,000/year #Location New York City, New York, United States See more jobs at Vox","['copywriting', 'non tech']",https://remoteok.com,REMOTEOK,40000,65000,52500.0,3,Year,4,EDITOR,full-time,True,True,True,conversational,1,ef576fc34cdc1b650b75fa10d6dee3e3
PRODUCT DESIGN SUMMER 2022 INTERNSHIP,TILE,USA - Remote,2022-02-04 10:34:10+00:00,https://remoteok.com/remote-jobs/108535-remote-product-design-summer-2022-internship-tile,"´Tile Apply now 10,988 views 1,808 applied (16%) Share this job: Tile is hiring a Remote Product Design Summer 2022 Internship We’re looking for open-minded individuals who want to expand the ways technology can help people. We work fast, collaborate, and celebrate as a team. We’re united by a commitment to shaping Tile’s culture around the needs of our colleagues and customers, and by our desire to build a diverse and welcoming workplace. This program is designed to help junior designers truly own their craft by getting real hands on experience with Product Design. We will give designers a mentor to help guide them along the way, a sandbox where they can learn a make mistakes, and real project experience that could potentially get on the roadmap. xa0 At the conclusion of the internship, the designer will have all the tools to become functional Product Designer. Tile has a Mandatory COVID-19 Vaccination Policy that applies to all employees that work on-site at our San Mateo office. xa0 xa0 Employees not working remotely will have to upload their vaccination records via a secure link within the first week of their employment. We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. #Salary and compensation No salary data published by company so we estimated salary based on similar jobs related to Junior, Internship, Design and Digital Nomad jobs that are similar: $60,000 — $125,000/year #Location US - Remote See more jobs at Tile´","['junior', 'internship', 'design']",https://remoteok.com,REMOTEOK,60000,125000,92500.0,3,Year,4,-,full-time,True,True,True,conversational,1,c84bae1bbb1b51b229ba46d2c458f416
SENIOR API ENGINEER,COLABRA,Worldwide,2022-01-30 16:38:30+00:00,https://remoteok.com/remote-jobs/108459-remote-senior-api-engineer-colabra,"Colabra colabra.app Apply now 12,294 views 878 applied (7%) Share this job: Get a rok.co short link Colabra is hiring a Remote Senior API Engineer Colabra(https://www.colabra.app/)´s mission is to increase the world´s scientific output. We´re backed by top investors including Village Global, Builders, Inovia, Jude Gomila, the Technical Director of OpenAI, and founders of several biotech startups. We´re now hiring a senior engineer with experience working on B2B public-facing APIs and integration(https://www.colabra.app/integrations/) platforms to help us make our product extensible, and ready for enterprise clients. ### About us * We’re a small team optimising for impact — not headcount. * We’re using a single programming language — TypeScript (but can review for this project, based on your input). ### Responsibilities * Work closely with the founders to develop the platform product vision and strategy. * Design and drive the development of Colabra´s public API, related developer-facing products (e.g. CLI), and the broader platform surrounding it. * Work with the engineering team to change application architecture and infrastructure to support this project. ### Requirements * 4+ years of API/platform architecture and engineering experience at high-growth B2B startups, and experience working in a remote-first team. * Deep understanding of software design, product and business considerations that go into delivering great public APIs. * Strong experience with modern technology stacks (learning on the job is perfectly fine). * Relentless resourcefulness, ownership mindset, and a proven record of single-handedly taking ideas from conception to live. * Passion for the promotion of science, and experience working on B2B SaaS a plus. ### What’s in it for you? * Opportunity for outsized impact, working to accelerate world-changing scientific research. * Work in an async, remote-first startup where work-life balance is celebrated and promoted. * Co-working, Coffee, Cleaning, Books and u200d Fitness allowance. * Unlimited PTO. Be sure to mention the word **AFFINITY** when applying to show you read the job post completely. This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they´re human. #Salary and compensation $80,000 — $140,000/year #Location Worldwide See more jobs at Colabra Visit Colabra´s website","['api', 'senior', 'engineer']",https://remoteok.com,REMOTEOK,80000,140000,110000.0,3,Year,1,BACKEND,full-time,True,True,True,conversational,1,1414a9ad91bfff98ccefcb848a3ca144
ENGINEERING MANAGER,NEBULAB,Worldwide,2022-02-03 00:00:17+00:00,https://remoteok.com/remote-jobs/106409-remote-engineering-manager-nebulab,"Nebulab nebulab.com Apply now 25,834 views 6,573 applied (25%) Share this job: Get a rok.co short link Nebulab is also hiring a: Senior Ruby on Rails Engineer Nebulab is hiring a Remote Engineering Manager ## About us We are Nebulab(https://nebulab.com/), the full-service eCommerce agency behind some of the world’s most disruptive digital brands. We specialize in building bespoke eCommerce experiences for international clients across a wide array of verticals, and we lead the development of Solidus(https://solidus.io), the open-source eCommerce platform for industry trailblazers. We’re a growing team of strategists, designers and engineers with a distributed culture based on continuous learning, radical transparency and tight collaboration. We are bold, detail-oriented and we pursue excellence in everything we do. Through our work, we are raising the bar for what eCommerce looks like. ## What you´ll do You will manage teams of eCommerce designers and engineers working on some of the world´s most renowned DTC brands. We work with Shopify, Ruby on Rails, Solidus, React and a variety of other technologies and platforms. As the Engineering Manager on the team, you will be the main point of reference for both the client and the team: you will be responsible for writing feature specifications, coordinating technical execution and unblocking your team as needed. You will have to know when to roll up your sleeves and become laser-focused, and when to zoom out and look at the high-level picture. At the same time, you will be constantly on the lookout for opportunities to delegate work and coach your team members to own every stage of the process, as well as for conducting regular 1:1s and performance reviews. Want to dig deeper? Read more about how we work in our Playbook(https://playbook.nebulab.it/) and its section for Engineering Managers(https://playbook.nebulab.com/managing-teams/what-engineering-managers-do/). ## Who you are As an ideal candidate for this position... - You have a track record of managing different aspects of an Agile product team, from project management and technical execution all the way to coaching and performance management. - You have hands-on experience with Ruby on Rails, React or both, and can use it to communicate with developers and make informed decisions. - You are an empathetic and efficient communicator who listens more than they talk. - You lead by example and expect your team to do the same. - You know when to focus on the big picture and when to dig into the finer details. - You love coaching your team and helping them develop their talents. Past consulting/eCommerce experience is a nice-to-have but not required. ## Hiring process Our hiring process(https://playbook.nebulab.com/people-ops/hiring/) is mostly asynchronous, and it has been designed to be respectful of your time. ## Benefits We offer a generous benefits & perks package(https://playbook.nebulab.com/people-ops/benefits/) which will allow you to do great work at an extremely sustainable pace, while also continuing your personal and professional growth. Be sure to mention the word **CAPABLE** when applying to show you read the job post completely. This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they´re human. #Salary and compensation No salary data published by company so we estimated salary based on similar jobs related to JavaScript, React, Ruby, Engineer, Ecommerce and Executive jobs that are similar: $65,000 — $115,000/year #Location Worldwide See more jobs at Nebulab Visit Nebulab´s website","['javascript', 'react', 'ruby', 'engineer']",https://remoteok.com,REMOTEOK,65000,115000,90000.0,3,Year,4,MANAGER,full-time,True,True,True,conversational,1,0488472ea6b726d457fda0bf6ed0a1fa
SENIOR RUBY ON RAILS ENGINEER,NEBULAB,Worldwide,2022-02-18 00:00:12+00:00,https://remoteok.com/remote-jobs/106048-remote-senior-ruby-on-rails-engineer-nebulab,"Nebulab nebulab.com Apply now 19,104 views 4,124 applied (22%) Share this job: Get a rok.co short link Nebulab is also hiring a: Engineering Manager Nebulab is hiring a Remote Senior Ruby on Rails Engineer We are Nebulab(https://nebulab.com), the full-service eCommerce agency behind some of the world’s most disruptive digital brands. We specialize in building bespoke eCommerce experiences for international clients across a wide array of verticals, and we lead the development of Solidus(https://solidus.io), the open-source eCommerce platform for industry trailblazers. We’re a growing team of strategists, designers and engineers with a remote-first culture based on continuous learning, transparency and collaboration. We are bold, detail-oriented and we pursue excellence in everything we do. Through our work, we are raising the bar for what eCommerce looks like. We are looking for Ruby on Rails developers to join our distributed team and work on challenging international projects, both open-source and proprietary. ## What you´ll do You will design, build and maintain solid Ruby on Rails applications with excellent test coverage. Most of these will be eCommerce applications built with Solidus. Your won´t just write code, you will take part in every step of the process: from going over requirements with your team to discussing business goals with project stakeholders. We love friendly, open-minded people that want to make a difference. We value knowledge sharing and collaboration above everything else: you will always have a chance to propose your ideas and solutions. We´re inspired by open-source values and part of your work will be writing open-source code to make the world a better place. Want to dig deeper? Read more about how we work in our Playbook(https://playbook.nebulab.com)! ## Requirements Qualified candidates are passionate about building high-quality, well-tested Ruby on Rails code. They should be able to communicate with both their teammates and clients in a clear, productive and friendly way. We value people that are inclusive, community-driven and want to learn new things and share knowledge. Nice-to-haves include: past consulting experience, management experience, knowledge of the Solidus framework, knowledge of modern Javascript frameworks. ## Benefits Head over to our Playbook to learn what benefits we offer(https://playbook.nebulab.com/people-ops/benefits/)! Be sure to mention the word **PHENOMENALLY** when applying to show you read the job post completely. This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they´re human. #Salary and compensation No salary data published by company so we estimated salary based on similar jobs related to Ruby, Senior, Engineer and Ecommerce jobs that are similar: $65,000 — $120,000/year #Location Worldwide See more jobs at Nebulab Visit Nebulab´s website","['ruby', 'senior', 'engineer', 'ecommerce']",https://remoteok.com,REMOTEOK,65000,120000,92500.0,3,Year,1,BACKEND,full-time,True,True,True,conversational,1,d447edf92944fcad92dbb1c2c0942ac4
SENIOR BACKEND DEVELOPER,LUFTHANSA INNOVATION HUB,Worldwide,2022-02-22 00:00:09+00:00,https://remoteok.com/remote-jobs/105486-remote-senior-backend-developer-lufthansa-innovation-hub,"´Lufthansa Innovation Hub Apply now 20,306 views 3,354 applied (17%) Share this job: Get a rok.co short link Lufthansa Innovation Hub is hiring a Remote Senior Backend Developer ## About the job We are Europe’s largest airlines’ innovation unit and work on a variety of innovative projects from new ways of booking flights to the future of climate-neutral flying. As a senior developer, you are someone who can see projects through from beginning to end, coach others, and self-manage. We’re looking for an eager person who can bring our team to the next level with their technical knowledge, people skills, and real-world experience. On the technical side, extensive experience building high-traffic websites using Ruby and Ruby on Rails is a hard requirement. Experience with DevOps (AWS services, Terraform) is a plus but not required. ## The Stack * Ruby on Rails backend & we ´re experimenting with Sorbet * Open API Specs for contract testing * Postgres * Terraform * Bonus: Amazon Web Services (RDS, ECS, Lambda, Cloudwatch) * Bonus: TypeScript, React/Vue ## How we work * Our biweekly sprint planning call is our only regular meeting * For complex features, write a design doc before coding * All code goes through code review, reviews are split out evenly across the team * A dedicated runner fields ad-hoc requests and bug reports each week, so that everyone else can focus * We use Tuple for pair programming ## About you ### Technical Skills & Experience * You ´ve built complex apps in a Ruby on Rails + modern frontend stack before, with a codebase optimized for performance and scale * You ´ve designed & shipped large applications with many components and data structures * You have a proven ability to design interfaces that stand the test of time, showing anticipation of future product changes * You have experience integrating complex third party APIs * You are able to successfully refactor existing code and get rid of tech debt without regressions ### Personality * You are able to handle ambiguity, and can push projects forward even when there is not a clear best path * You see things through from start to finish * You can manage yourself but you also work well with others * A good sense of humor and a great team player * Fluent English and an excellent communicator ## Compensation This is a full-time position and you can work from anywhere within ±6 hours of CET. The salary range is between $90 - 120k. Be sure to mention the word **EXELLENT** when applying to show you read the job post completely. This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they ´re human. #Salary and compensation $90,000 — $120,000/year #Location Worldwide See more jobs at Lufthansa Innovation Hub´","['ruby', 'senior', 'backend', 'dev']",https://remoteok.com,REMOTEOK,90000,120000,105000.0,3,Year,1,BACKEND,full-time,True,True,True,conversational,1,c50337c8b92eee2a514675fe99fd21ea
SENIOR FRONT END ENGINEER,ITERATIVE,Worldwide,2022-02-05 00:00:17+00:00,https://remoteok.com/remote-jobs/102909-remote-senior-frontend-engineer-iterative,"Iterative iterative.ai Apply now 29,428 views 4,933 applied (17%) Share this job: Get a rok.co short link Iterative is also hiring a: Senior Software Engineer Iterative is hiring a Remote Senior Front End Engineer Please follow this link to read about the job and apply: https://docs.google.com/document/d/1aT5HZYt4kAUxXqD4JNTe3jPDlVUwSmnEWDPR2QoKdvo/(https://docs.google.com/document/d/1aT5HZYt4kAUxXqD4JNTe3jPDlVUwSmnEWDPR2QoKdvo/) We’re seeking a TypeScript front-end engineer to build SaaS and a VS Code UI for our popular machine learning tools: DVC (7000+ on GitHub) and CML (2000+ on GitHub). **No prior knowledge of ML or Data Science is required.** The ML tools ecosystem is what JS space was 10 years ago: there’s a clear need for better tools, frameworks, and open standards. ITERATIVE is already a well known company in this fast-evolving space with a big, engaged open-source community. Please consider joining our remote-first team if you love open-source, if you’re interested in building dev tools and simplifying the lives of many, many developers in ML. *The project* - We’re making a UI for DVC and CML. Think GitHub and/or popular Git extensions for VS Code - like GitLens. VS Code UI will be open sourced and will become part of your public profile! If you have experience with dev tools like GitHub, UI plugins for Git, etc., you should already have some sense what the project is like. *The tech* - Our stack includes TypeScript, Node, React, and Python. *The compensation* - Highly competitive salary, stock options, and bonuses. **Read more about us, and about the position here please:** https://docs.google.com/document/d/1aT5HZYt4kAUxXqD4JNTe3jPDlVUwSmnEWDPR2QoKdvo/(https://docs.google.com/document/d/1aT5HZYt4kAUxXqD4JNTe3jPDlVUwSmnEWDPR2QoKdvo/) Be sure to mention the word **ADMIRING** when applying to show you read the job post completely. This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they´re human. #Salary and compensation No salary data published by company so we estimated salary based on similar jobs related to JavaScript, React, Node, Senior, Engineer and Front End jobs that are similar: $60,000 — $115,000/year #Location Worldwide See more jobs at Iterative Visit Iterative´s website","['javascript', 'react', 'node', 'senior']",https://remoteok.com,REMOTEOK,60000,115000,87500.0,3,Year,1,FRONTEND,full-time,True,True,True,conversational,1,42100c6148100ed1e82874bfd1cbad0a
SENIOR SOFTWARE ENGINEER,ITERATIVE,Worldwide,2022-02-05 00:00:13+00:00,https://remoteok.com/remote-jobs/99244-remote-senior-software-engineer-iterative,"Iterative iterative.ai Apply now 39,285 views 4,703 applied (12%) Share this job: Get a rok.co short link Iterative is also hiring a: Senior Frontend Engineer Iterative is hiring a Remote Senior Software Engineer We’re seeking a senior core, distributed systems engineers to build dev tools. At Iterative(https://iterative.ai) we build DVC(https://dvc.org) (9000+ on GitHub) and CML(https://cml.dev) (2000+ on GitHub) and a few other projects that are not released yet. It´s a great opportunity if you love open source, dev tools, systems programming, and remote work. Join our well-funded remote-first team to build developer tools to see how your code is used by thousands of developers every day! ## ABOUT YOU - Excellent communication skills and a positive mindset - No prior deep knowledge of ML is required - At least one year of experience with file systems, concurrency, multithreading, and server architectures - Passionate about building highly reliable system software - Python knowledge and excellent coding culture (standards, unit test, docs, etc) are required. - Initiative to help shape the engineering practices, products, and culture of a young startup - xa0**Remote work self-discipline.** xa0A lot of our processes are built on trust- we don´t like and don´t have time to micro-manage ### About the interview process We’ll likely start with an informal 45-minute phone call to meet. After that, we’d love to work on a process together that feels fair. No trick/puzzle questions, no artificial “whiteboard” problems. Usually we plan to do something together - a task that is actually motivated by the problems we deal every day with. It can be for example a ticket from GitHub. You will meet and potentially work with the team. Of course, we’d pay you whatever you think is fair. We understand, however, that’s not always possible for everyone and we are open-minded and can discuss other options! ## ABOUT US At ITERATIVE, we build developer tools for machine learning. We´re a well-funded, remote-first team on a mission to solve the complexity of managing datasets, ML infrastructure, ML models lifecycle management. We value great collaboration and communication skills, both among internal teams and in how we interact with our users. We take care to balance and be responsive to the needs of our open source community as well as our enterprise-level customers. - Check out our GitHub(https://github.com/iterative/dvc) - Check out the Website(https://dvc.org) and Docs(https://dvc.org/doc) - Finally, take a look at our Blog(https://dvc.org/blog) and YouTube ### WHAT WE OFFER - Team is distributed remotely worldwide. - Open source-first company- your work will be visible and will be used by thousands developers every day! This feels great! Check out our Discord(https://dvc.org/chat) and GitHub(https://github.com/iterative). - Engineering team is involved in product discussions and planning. We do it openly via Github or Discord chat. - Besides building the product we participate in conferences (PyCon, PyData, O´Reilly AI, etc). We encourage and support the team in giving talks, writing blog-posts, and other activities. - Well-defined process that we all participate in improving. - Great health coverage for you and your family, 100% paid by us (US only, but can discuss and reimburse, adjust the salary in other locations) ### WE TAKE CARE OF OUR PEOPLE As a distributed company, diversity drives our identity. Whether you’re looking to launch a new career or grow an existing one, ITERATIVE is the type of company where you can balance great work with great life. Your age is only a number. It doesn’t matter if you’re just out of college or your children are; we need you for what you can do. We strive to have parity of benefits across regions and while regulations differ from place to place, we believe taking care of our people is the right thing to do. - Competitive pay based on the work you do here and not your previous salary - Great health coverage for you and your family, 100% paid by us (US only, but can discuss and reimburse, adjust the salary in other locations) - Ability to craft your calendar with flexible locations and schedules for many roles - Unlimited PTO and sick days ITERATIVE is an Equal Employment employer committed to the principles of equal employment opportunity and affirmative action for all applicants and employees. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender perception or identity, national origin, age, marital status, protected veteran status, or disability status or any other basis protected by federal, state or local law, ordinance or regulation. ITERATIVE also makes reasonable accommodations for disabled employees consistent with applicable law. Be sure to mention the word **DELECTABLE** when applying to show you read the job post completely. This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they´re human. #Salary and compensation $100,000 — $200,000/year #Location Worldwide See more jobs at Iterative Visit Iterative´s website","['python', 'senior', 'engineer', 'dev']",https://remoteok.com,REMOTEOK,100000,200000,150000.0,3,Year,1,DEVELOPER,full-time,True,True,True,conversational,1,f9661cef7151c67b7c46ff259853c51c
SENIOR PRODUCT ENGINEER,BARSALA,USA,2022-02-28 20:48:01+00:00,https://remoteok.com/remote-jobs/109318-remote-senior-product-engineer-barsala,"Barsala barsala.com Apply now 71 views 4 applied (6%) Share this job: Barsala is hiring a Remote Senior Product Engineer *Barsala is working to unlock unique locations to stay in cities across the globe.* Every building needs Barsala. Building owners work tirelessly to bring on new, creative developments into cities that enable people to explore the area in a unique way and feel inspired while doing so. Developing buildings is high risk, and Barsala increases the chances that the building owner will make a return on their investment by monetizing their vacant apartments. Travelers have evolved over time. Hotels aren´t friendly for those staying for extended periods of time, and other rental options has a lack of consistency that leaves the traveler wondering if the owner will accidentally open the door to their room. Barsala offers fully furnished, livable spaces for remote workers, business travelers, digital nomads, and anyone else who is looking for a better way to stay. These come equipped with a washer/dryer and kitchen, and they provide unique opportunities for people to explore new cities. **About the Role** Barsala is looking for a product-focused engineer that can implement creative solutions across a variety of products, and build world class technology for our guests and building partners. **What You´ll Do:** * Build key components of the Barsala platform: * A world-class hotel suite of guest applications that empowers them to take full advantage of their stays * Includes our web platform, mobile app, checkin form, and the API that powers all of them * Smart home and building IoT integrations for a next generation hospitality experience * Identity verification and improvements to our fraud detection services * Applications for our building owners to help manage and improve their experience with Barsala * Collaborate with stakeholders across the world to drive teams towards high impact * Help us grow our new team by interviewing and recruiting new engineers * Develop a culture of high ownership, innovation, empathy, and collaboration * Make investments in engineering reliability, productivity, and excellence **Why you might be excited about us** * We’re building the future of travel. We’re a passionate team of individuals that love to travel and explore new cities, and we take that energy into building an experience that’s unlike what exists today * You’ll work closely and communicate directly with product owners at Barsala and work with them to build the right solutions to the problems they face * You´ll quickly have responsibility over big areas of our products. * The future is very bright - we’ve bootstrapped the company to ~1,000 properties across 12 different cities. We´ve recently raised a round of funding and are looking to accelerate this growth in 2022! **Why you might not be excited about us** * We´re a relatively small team, so if you like more established teams, it´s not (yet) the right time. You´ll help build our company´s culture. * Since we´re still a startup, projects and priorities may shift. * Since you´ll have a lot of responsibility and creativity over projects, they may not be defined perfectly initially. You´ll be expected to bring your own experience and perspective to help us do the right things, and raise flags if you think we should do things differently. **About you** * Minimum 4 years of experience designing, building, enterprise-grade or consumer-facing software * Strong proficiency in Node, React and React Native, and preferably Next.js * Experience or confidence in their ability to lead teams to accomplish projects end to end * Detail-oriented, has a muscle for making trade-offs between technical perfection and time to go live * Strong communication skills and comfortable collaborating with non-technical stakeholders * Successful track record in challenging engineering roles within startups * Comfortable establishing standards in codebases for others to follow **Why Barsala?** * Annual credits and discounted rates to Barsala properties * WeWork membership reimbursement * Professional development reimbursement * Home office & technology reimbursement * Remote work opportunities * Opportunity to: * Grow as a technical leader within our engineering team, getting experience coordinating with other engineers and mentoring them * Gain technical ownership over numerous products * Exact title flexible based on level of experience * We provide medical, dental and vision insurance Be sure to mention the word **GLOWING** when applying to show you read the job post completely. This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they´re human. #Salary and compensation $90,000 — $120,000/year #Location US See more jobs at Barsala Visit Barsala´s website","['javascript', 'react', 'travel', 'senior']",https://remoteok.com,REMOTEOK,90000,120000,105000.0,3,Year,1,-,full-time,True,True,True,conversational,1,5bf803d609ad32465c80d6b26568b6e2
SENIOR QUALITY ASSURANCE ENGINEER,DROPS,Worldwide,2022-02-28 20:12:15+00:00,https://remoteok.com/remote-jobs/109316-remote-senior-qa-engineer-drops,"Drops languagedrops.com Apply now 64 views 4 applied (6%) Share this job: Get a rok.co short link Drops is also hiring a: Senior Frontend Developer Senior QA Engineer Drops is hiring a Remote Senior Quality Assurance Engineer Type: Remote, permanent, full-time position. Key Skills: Automation testing, Manual testing, Cypress, Katalon, CI/CD Automation, Appstores, Javascript, Jira and Confluence. Pitch: Do you have a soft spot for profitable companies with a meaningful, globally used and loved product? Would you like to work within a compact, super-capable team in a refreshing work environment? Would you like to work on an application that is changing the way we learn and communicate? Drops could be the place for you. About us: Our goal at Drops is to ensure effective language learning through a delightful, seamless, gamified experience. We strive to be the #1 app for vocabulary learning. Our app has been live on the App Store for 4 years, covering 45 languages, serving over 35 million users across the globe and has been featured on both the App Store (App of the Day) and Play Store (App of the Year in 2018). Drops has also been featured by TechCrunch, FastCo, Forbes, CNN, Bloomberg, VentureBeat and many, many more. In short, we’re a tiny but very powerful team spread (mostly) across Europe, achieving great things the remote way! In December 2020, Drops was acquired by Kahoot!, the world’s leading game-based learning platform. Check us out here: https://languagedrops.com Requirements About you: You’re a driven and passionate Senior QA Engineer who strives not only for the best possible product experience, but is also a solutions-focussed individual who doesn’t shy away from a challenge. You will have experience working closely with developers and the wider product team on a variety of different projects, being a vocal and engaged member of the team throughout the entire development cycle. You have experience creating, managing and maintaining automation tests and issue tracking, willing to propose suggestions for improvement and optimisation learnt from previous experience! You’re meticulous about documenting test cases and release management for all cross functional team members. You’re a proactive team player who recognises problems and spots patterns with an eye for processes, compatibility, consistency and stability within a product! Drops is a deliberately small, but super effective team. You’re naturally drawn to the fate of the products & driven to grow as an engineer rather than to manage people. The role: You are excited by variety (it’s the spice of life!) - In this role, you’ll be: Writing, maintaining and fixing automation tests for mobile and web (Cypress, Katalon) Working on and improving our CI/CD deployment process Manually testing across a suite of web and mobile applications during the sprint cycle Ensuring quality and engagement through issue tracking in Jira Pushing releases for the entire Drops catalogue Writing test cases and team process documentation You will: Support the development team in testing new builds and functionality Add to and deliver the wider QA roadmap Meet regularly with support to discuss, triage and own issues with quality Communicate effectively with product managers, engineers and the marketing growth team Engage with and monitor KPI’s which detail issue rates, crash rates, automation and overall quality What’d be different here: We’re a small team. We’re optimising for impact, not for headcount. You’ll be carefully considering any tradeoff that would lead to increased complexity We have over 35 million users We have robust coding standards and every pull request needs review and approval before it lands in master. We use the rebase workflow and we release a few times a week We’re using Javascript for our cypress automation suite Our backend is hosted on AWS and we use Buildkite and Bitrise for our CI We’re using react native on the frontend We are BIG on AB testing. We focus on releasing high impact projects and minimise noise Our biggest challenge in QA is balancing a solid automation test coverage, testing new functionality and releasing regularly You have: Worked within QA teams, with bonus points for smaller teams and startup/growth companies Experience in automation testing (cypress, katalon etc) Experience using issue tracking via tools such as Jira, Monday etc. Experience writing documentation Experience with mobile and web releases Strong verbal and written communication skills Proactiveness, with a solutions-focussed attitude Drops values clear, honest communication and transparency. It’s the linchpin of our culture, success and freedom. You’ll be involved in both high and low level decision making and available during European working hours (10AM - 6PM CET). Benefits All the perks of remote working An awesomely compact 30 person team Yearly educational allowance Fitness allowance High-end Apple hardware and ergonomic accessories 36 days of holiday per year Team gathering 3 times a year, somewhere in the world (Amsterdam, Iceland, Lisbon and Budapest were previous locations) - Once we can move freely of course Be sure to mention the word **MAGNANIMOUS** when applying to show you read the job post completely. This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they´re human. #Salary and compensation $50,000 — $70,000/year #Location Worldwide See more jobs at Drops Visit Drops´s website","['jira', 'javascript', 'testing', 'qa']",https://remoteok.com,REMOTEOK,50000,70000,60000.0,3,Year,1,-,full-time,True,True,True,conversational,1,967444a465e79bc245fd598dca45b3d3
