id,type,attributes.name,attributes.description,attributes.long_description,attributes.projects,attributes.benefits,attributes.web,attributes.twitter,attributes.github,attributes.facebook,attributes.angellist,attributes.country,attributes.response_time_in_days.min,attributes.response_time_in_days.max,attributes.logo
neox-cl,company,Neox,"Empresa de tecnología, dedicada a desarrollar a medida soluciones de negocios para nuestros clientes, con amplio conocimientos en diversas tecnologías.",,"<p>Somos una empresa dedicada a las tecnologías de la información, contamos con aproximadamente 12 años de experiencia en el mercado TI, siendo un socio estratégico para nuestros clientes, los cuales abarcan diferentes industrias dentro de Chile y el Extranjero. Nos gusta proponer soluciones innovadoras, basadas en las más variadas tecnologías de la industria actual.<br><br><br><br><br></p><p>Nuestros principales clientes son las medianas empresas y grandes empresas, acutalmente trabajamos mucho con las principales entidades bancarias de chile, los que generalmente nos solicitan desarrollos de software a la medida, ya sea a nivel de infraestructura, backend y frontend o bien la administración, soporte, desarrollo o integraciones con productos IBM.<br><br><br><br><br></p>",,https://www.neox.cl,,,,,CL,,,https://getonbrd-prod.s3.amazonaws.com/uploads/users/logo/8241/logo_neox_mediano.png
marco-marketing,company,Marco Marketing,"Consultora Multinacional, con presencial en 7 países de Latinoamérica",,"<div>En Marco Marketing, estamos en búsqueda del mejor talento para que pueda desempeñarse como Developer y se pueda sumar al equipo de BI. Somos un centro de excelencia en BI enfocado en desarrollar productos, soluciones y arquitectura de datos para todos los proyectos de la compañía. Nuestro equipo se ubica en 6 países distintos y trabaja con proyectos en más de 10 países.</div>",<div>-Horario full time<br>-Trabajo remoto</div>,https://marcomkt.com/,,,,,AR,,,https://getonbrd-prod.s3.amazonaws.com/uploads/users/logo/11235/marco_logo_v2.png
correoschile,company,CorreosChile,Empresa de distribución y logística ,<div>Importante empresa de distribución y logística a nivel nacional. </div>,,,http://www.correoschile.cl,,,,,CL,,,https://getonbrd-prod.s3.amazonaws.com/uploads/users/logo/11102/correos-chile-logo.jpg
mgc,company,MGC,"Agencia de Comunicación Estratégica con 14 años de experiencia y una planta de más de 100 colaboradores en Santiago de Chile. Durante su trayectoria, MGC se ha convertido en socio estratégico para importantes firmas de diversas industrias,",,,,https://mgconsulting.cl/?utm_source=search&utm_medium=cpa&utm_campaign=brand_competencias&gclid=Cj0KCQjwrJOMBhCZARIsAGEd4VHMNRJcxa3ukce32XxbPODtz_vYN_aRkcjpDp7OxjRgrAL4GjOqSVIaAn-cEALw_wcB,,,,,CL,,,https://getonbrd-prod.s3.amazonaws.com/uploads/users/logo/11291/106924708_3054663054602442_6653338009159619697_n.jpg
digital-restaurants,company,Megabite,Megabite es un restaurante digital que atiende órdenes 100% digitales a través de sus cocinas en diferentes puntos de Lima y próximamente a nivel internacional.,,"<p>Megabite es un restaurante digital que atiende órdenes 100% digitales a través de sus cocinas en diferentes puntos de Lima y próximamente a nivel internacional.<br><br></p><p><strong>MISIÓN DEL PUESTO: </strong>Encargado del análisis de datos de las operaciones, tecnología y equipos de Megabite. Además, es responsable de la construcción de un sistema interno y una base de datos centralizada.<br><br></p>",,https://www.linkedin.com/company/digital-restaurants-sa/,,,,,PE,,,https://getonbrd-prod.s3.amazonaws.com/uploads/users/logo/10320/Logo_Megabite.png
yuvika-business,company,Yuvika Business,"Yuvika Business Solution is Bangalore based company offers SEO services across the globe. Including SEO it present the complete online solution like Website Development, Web Application, Digital Marketing, Social Media Branding, within the budget.","<p><a href=""https://yuvikabusiness.com/"">Yuvika Business Solution</a> is a company that empower the organization by generation quality lead through online platform. We enables the website as a platform for the lead generation. Infinite Business Solution incorporated various online services like Digital Marketing, Social Media Branding, <a href=""https://yuvikabusiness.com/search-engine-optimisation-seo/"">Search Engine Optimization</a> ect, within the budget. Our team spent qualitative sufficient time in online market research, competitors analysis, consumer behavior study, geographical location targeting and many other decision making variable ; before going for the website development and design. It enables us to offer the most effective and the best suitable solution for the clients.</p>",,,https://yuvikabusiness.com,SolutionYuvika,,YuvikaBusiness,,IN,,,https://getonbrd-prod.s3.amazonaws.com/uploads/users/logo/11519/Yuvika-Logo-New.jpg
the-brihaspati-infotech,company,The Brihaspati Infotech,"Daljeet Singh is an experienced Magento Developer, currently working with a leading Magento development company named “The Brihaspati Infotech”. ","<div>Daljeet Singh is an experienced Magento Developer, currently working with a leading <a href=""https://www.brihaspatitech.com/magento-development-company/"">Magento development company</a> named “The Brihaspati Infotech”. In his 5+ years of industry experience, Daljeet has helped several eCommerce ideas transform into brands with a customized store that clearly stands out from the crowd.</div>",,,https://www.brihaspatitech.com/magento-development-company/,,,,,US,,,https://getonbrd-prod.s3.amazonaws.com/uploads/users/logo/11444/logo1.png
global-knitwear,company,Global Knitwear,If You Are looking Supplier For Tshirts Here Global Knitwear is remarkable manufacturer of superior quality &amp; durable Men's T-shirts in USA.,"<p>If You Are looking Supplier For<a href=""https://globalknitwear.com/product-category/menswear/t-shirts/""> Tshirts </a>Here Global Knitwear is remarkable manufacturer of superior quality &amp; durable Men's <a href=""https://globalknitwear.com/product-category/menswear/t-shirts/"">T-shirts</a> in USA.</p>",,,https://globalknitwear.com/product-category/menswear/t-shirts/,,,,,US,,,https://getonbrd-prod.s3.amazonaws.com/uploads/users/logo/11445/globalknitwear.png
laptown-arboledas,company,LAPTOWN ARBOLEDAS,soporte tecnico a electronicos,"<p>LAPTOWN” es un establecimiento que ofrece los servicios de reparación, mantenimiento de laptops, impresoras, smartphones, juegos de video, y todo lo relacionado con computadoras portátiles, de escritorio y dispositivos móviles, cuenta con especialistas en todas las marcas y modelos, y que ofrece una capacitación constante a su personal, con el fin de mantenernos actualizados en el mercado y de esta manera garantizar la calidad del servicio ofrecido. </p>",,,http://www.laptown.com,,,,,MX,,,https://getonbrd-prod.s3.amazonaws.com/uploads/users/logo/11719/logo.png
rutero-cl,company,Rutero,Plataforma  digital de reservas para alojamientos outdoor y servicios de deporte aventura,"<p><strong>¡Encuentra tu aventura outdoor perfecta!</strong></p><p>Miles de emprendedores tienen problemas para conectarse a la transformación digital hoy. Muchos de ellos son alojamientos y actividades de índole outdoor.</p><p>Desde ahora, Rutero viene a conectar a todos esos miles de emprendedores del turismo con los millones de turistas que hoy viajan por Chile y Sudamérica.</p>","<div>Somos Rutero, una <strong>plataforma de reservas de alojamientos outdoor y servicios de deporte aventura</strong> y queremos agrandar nuestro equipo para rentabilizar la comunidad que llevamos formado desde 2018. Somos un equipo joven que busca crear un<strong> sistema central del mundo outdoor</strong>, donde cualquier persona pueda encontrar la aventura perfecta y poder llevarla a cabo.</div>",,http://www.ruterocamping.com,,,,,CL,,,https://getonbrd-prod.s3.amazonaws.com/uploads/users/logo/11236/Logo_Rutero_Mesa_de_trabajo_1.jpg
